Date,City,Country,Venue,Opening act,Attendance,Revenue,Opening acts,Venue_Capacity,Tour_ID
2013-03-13,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13939.0,1121582.0,nan,13939.0,3
2013-03-14,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13938.0,1121582.0,nan,13938.0,3
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,nan,14291.0,3
2013-03-19,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173101.0,nan,14291.0,3
2013-03-22,Charlotte,United States,Time Warner Cable Arena,"Ed Sheeran
Brett Eldredge",14686.0,1162733.0,nan,14686.0,3
2013-03-23,Columbia,United States,Colonial Life Arena,"Ed Sheeran
Brett Eldredge",12490.0,996114.0,nan,12490.0,3
2013-03-27,Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line",12689.0,1188439.0,nan,12689.0,3
2013-03-28,Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line",12688.0,1188439.0,nan,12688.0,3
2013-03-29,Newark,United States,Prudential Center,"Ed Sheeran
Florida Georgia Line",12688.0,1188439.0,nan,12688.0,3
2013-04-10,Miami,United States,American Airlines Arena,"Ed Sheeran
Brett Eldredge",12808.0,1010175.0,nan,12808.0,3
2013-04-11,Orlando,United States,Amway Center,"Ed Sheeran
Brett Eldredge",12809.0,1027064.0,nan,12809.0,3
2013-04-12,Orlando,United States,Amway Center,"Ed Sheeran
Brett Eldredge",12808.0,1027064.0,nan,12808.0,3
2013-04-18,Atlanta,United States,Philips Arena,"Ed Sheeran
Brett Eldredge",12736.0,1024012.0,nan,12736.0,3
2013-04-19,Atlanta,United States,Philips Arena,"Ed Sheeran
Brett Eldredge",12735.0,1024011.0,nan,12735.0,3
2013-04-20,Tampa,United States,Tampa Bay Times Forum,"Ed Sheeran
Brett Eldredge",14080.0,1132095.0,nan,14080.0,3
2013-04-25,Cleveland,United States,Quicken Loans Arena,"Ed Sheeran
Brett Eldredge",15336.0,1247605.0,nan,15336.0,3
2013-04-26,Indianapolis,United States,Bankers Life Fieldhouse,"Ed Sheeran
Brett Eldredge",13573.0,1082042.0,nan,13573.0,3
2013-04-27,Lexington,United States,Rupp Arena,"Ed Sheeran
Brett Eldredge",17003.0,1342699.0,nan,17003.0,3
2013-05-04,Detroit,United States,Ford Field,"Ed Sheeran
Austin Mahone
Brett Eldredge",48265.0,3969059.0,nan,48265.0,3
2013-05-07,Louisville,United States,KFC Yum! Center,"Ed Sheeran
Florida Georgia Line",15135.0,1246491.0,nan,15135.0,3
2013-05-08,Columbus,United States,Nationwide Arena,"Ed Sheeran
Florida Georgia Line",14267.0,1155170.0,nan,14267.0,3
2013-05-11,"Washington, D.C.",United States,Verizon Center,"Ed Sheeran
Brett Eldredge",13810.0,1244603.0,nan,13810.0,3
2013-05-12,"Washington, D.C.",United States,Verizon Center,"Ed Sheeran
Brett Eldredge",13809.0,1244602.0,nan,13809.0,3
2013-05-16,Houston,United States,Toyota Center,"Ed Sheeran
Brett Eldredge",12467.0,961422.0,nan,12467.0,3
2013-05-21,Austin,United States,Frank Erwin Center,"Ed Sheeran
Florida Georgia Line",11916.0,935631.0,nan,11916.0,3
2013-05-22,San Antonio,United States,AT&T Center,"Ed Sheeran
Florida Georgia Line",13974.0,1105253.0,nan,13974.0,3
2013-05-25,Arlington,United States,Cowboys Stadium,"Ed Sheeran
Austin Mahone
Florida Georgia Line",53020.0,4589266.0,nan,53020.0,3
2013-05-28,Glendale,United States,Jobing.com Arena,"Ed Sheeran
Joel Crouse",13353.0,1119685.0,nan,13353.0,3
2013-05-29,Glendale,United States,Jobing.com Arena,"Ed Sheeran
Joel Crouse",13352.0,1119685.0,nan,13352.0,3
2013-06-01,Salt Lake City,United States,EnergySolutions Arena,"Ed Sheeran
Joel Crouse",14007.0,1139360.0,nan,14007.0,3
2013-06-02,Denver,United States,Pepsi Center,"Ed Sheeran
Joel Crouse",13489.0,1076069.0,nan,13489.0,3
2013-06-14,Toronto,Canada,Rogers Centre,"Ed Sheeran
Austin Mahone
Joel Crouse",43814.0,3931655.0,nan,43814.0,3
2013-06-15,Toronto,Canada,Rogers Centre,"Ed Sheeran
Austin Mahone
Joel Crouse",43813.0,3931655.0,nan,43813.0,3
2013-06-22,Winnipeg,Canada,Investors Group Field,"Ed Sheeran
Austin Mahone
Joel Crouse",33061.0,3175430.0,nan,33061.0,3
2013-06-25,Edmonton,Canada,Rexall Place,"Ed Sheeran
Joel Crouse",12832.0,1189935.0,nan,12832.0,3
2013-06-26,Edmonton,Canada,Rexall Place,"Ed Sheeran
Joel Crouse",12831.0,1189935.0,nan,12831.0,3
2013-06-29,Vancouver,Canada,BC Place Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",41142.0,3974410.0,nan,41142.0,3
2013-07-06,Pittsburgh,United States,Heinz Field,"Ed Sheeran
Austin Mahone
Joel Crouse",56047.0,4718518.0,nan,56047.0,3
2013-07-13,East Rutherford,United States,MetLife Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",52399.0,4670011.0,nan,52399.0,3
2013-07-19,Philadelphia,United States,Lincoln Financial Field,"Ed Sheeran
Austin Mahone
Joel Crouse",50639.0,4411168.0,nan,50639.0,3
2013-07-20,Philadelphia,United States,Lincoln Financial Field,"Ed Sheeran
Austin Mahone
Joel Crouse",50638.0,4411167.0,nan,50638.0,3
2013-07-26,Foxborough,United States,Gillette Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",55356.0,4732032.0,nan,55356.0,3
2013-07-27,Foxborough,United States,Gillette Stadium,"Ed Sheeran
Austin Mahone
Joel Crouse",55356.0,4732031.0,nan,55356.0,3
2013-08-01,Des Moines,United States,Wells Fargo Arena,"Ed Sheeran
Florida Georgia Line",13368.0,1075576.0,nan,13368.0,3
2013-08-02,Kansas City,United States,Sprint Center,"Ed Sheeran
Florida Georgia Line",13206.0,1046586.0,nan,13206.0,3
2013-08-03,Kansas City,United States,Sprint Center,"Ed Sheeran
Florida Georgia Line",13206.0,1046586.0,nan,13206.0,3
2013-08-06,Wichita,United States,Intrust Bank Arena,"Ed Sheeran
Casey James",12231.0,983882.0,nan,12231.0,3
2013-08-07,Tulsa,United States,BOK Center,"Ed Sheeran
Casey James",10949.0,868955.0,nan,10949.0,3
2013-08-10,Chicago,United States,Soldier Field,"Ed Sheeran
Austin Mahone
Casey James",50809.0,4149148.0,nan,50809.0,3
2013-08-15,San Diego,United States,Valley View Casino Center,"Ed Sheeran
Casey James",10872.0,948541.0,nan,10872.0,3
2013-08-19,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13958.0,1183616.0,nan,13958.0,3
2013-08-20,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13957.0,1183616.0,nan,13957.0,3
2013-08-23,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13957.0,1183616.0,nan,13957.0,3
2013-08-24,Los Angeles,United States,Staples Center,"Ed Sheeran
Casey James",13957.0,1183615.0,nan,13957.0,3
2013-08-27,Sacramento,United States,Sleep Train Arena,"Ed Sheeran
Casey James",12795.0,1138103.0,nan,12795.0,3
2013-08-30,Portland,United States,Moda Center,"Ed Sheeran
Casey James",13952.0,1084760.0,nan,13952.0,3
2013-08-31,Tacoma,United States,Tacoma Dome,"Ed Sheeran
Casey James",20348.0,1584049.0,nan,20348.0,3
2013-09-06,Fargo,United States,Fargodome,"Ed Sheeran
Casey James",21073.0,1661578.0,nan,21073.0,3
2013-09-07,Saint Paul,United States,Xcel Energy Center,"Ed Sheeran
Casey James",14460.0,1160469.0,nan,14460.0,3
2013-09-08,Saint Paul,United States,Xcel Energy Center,"Ed Sheeran
Casey James",14460.0,1160468.0,nan,14460.0,3
2013-09-12,Greensboro,United States,Greensboro Coliseum,"Ed Sheeran
Casey James",13650.0,1109253.0,nan,13650.0,3
2013-09-13,Raleigh,United States,PNC Arena,"Ed Sheeran
Casey James",13941.0,1088612.0,nan,13941.0,3
2013-09-14,Charlottesville,United States,John Paul Jones Arena,"Ed Sheeran
Casey James",12689.0,997216.0,nan,12689.0,3
2013-09-19,Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James",13764.0,1112182.0,nan,13764.0,3
2013-09-20,Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James",13764.0,1112182.0,nan,13764.0,3
2013-09-21,Nashville,United States,Bridgestone Arena,"Ed Sheeran
Casey James",13764.0,1112181.0,nan,13764.0,3
2013-11-29,Auckland,New Zealand,Vector Arena,nan,10267.0,1033430.0,Neon Trees,10267.0,3
2013-11-30,Auckland,New Zealand,Vector Arena,nan,10266.0,1033430.0,Neon Trees,10266.0,3
2013-12-01,Auckland,New Zealand,Vector Arena,nan,10266.0,1033430.0,Neon Trees,10266.0,3
2013-12-04,Sydney,Australia,Allianz Stadium,nan,40930.0,4096060.0,"Guy Sebastian
Neon Trees",40930.0,3
2013-12-07,Brisbane,Australia,Suncorp Stadium,nan,38907.0,3895810.0,"Guy Sebastian
Neon Trees",38907.0,3
2013-12-11,Perth,Australia,nib Stadium,nan,21827.0,2364080.0,"Guy Sebastian
Neon Trees",21827.0,3
2013-12-14,Melbourne,Australia,Etihad Stadium,nan,47257.0,4547250.0,"Guy Sebastian
Neon Trees",47257.0,3
2014-02-01,London,England,The O2 Arena,nan,14948.0,1165848.0,The Vamps,14948.0,3
2014-02-02,London,England,The O2 Arena,nan,14948.0,1165848.0,The Vamps,14948.0,3
2014-02-04,London,England,The O2 Arena,nan,14948.0,1165848.0,The Vamps,14948.0,3
2014-02-07,Berlin,Germany,O2 World,nan,10350.0,755006.0,Andreas Bourani,10350.0,3
2014-02-10,London,England,The O2 Arena,nan,14948.0,1165848.0,The Vamps,14948.0,3
2014-02-11,London,England,The O2 Arena,nan,14948.0,1165848.0,The Vamps,14948.0,3
2014-05-30,Shanghai,China,Mercedes-Benz Arena,nan,12793.0,1864934.0,nan,12793.0,3
2014-06-01,Saitama,Japan,Saitama Super Arena,nan,20046.0,1837147.0,CTS,20046.0,3
2014-06-04,Jakarta,Indonesia,MEIS Ancol,nan,8130.0,1481473.0,Nicole Zefanya,8130.0,3
2014-06-06,Pasay,Philippines,Mall of Asia Arena,nan,9775.0,1511662.0,Meg Bucsit,9775.0,3
2014-06-09,Singapore,Singapore,Singapore Indoor Stadium,nan,8172.0,1262040.0,Imprompt-3,8172.0,3
2014-06-11,Kuala Lumpur,Malaysia,Putra Indoor Stadium,nan,7525.0,998608.0,IamNeeta,7525.0,3
2014-06-12,Singapore,Singapore,Singapore Indoor Stadium,nan,8172.0,1262040.0,Imprompt-3,8172.0,3
