Date,City,Country,Venue,Opening acts,Attendance (tickets sold / available),Revenue,Tour_ID
2011-02-09,Singapore,Singapore,Singapore Indoor Stadium,Sezairi Sezali,"8,964 / 8,964","$916,850",2
2011-02-11,Seoul,South Korea,Olympic Gymnastics Arena,—,"4,725 / 4,725","$385,374",2
2011-02-13,Osaka,Japan,Osaka-Jo Hall,—,"6,953 / 6,953","$758,113",2
2011-02-16,Tokyo,Japan,Nippon Budokan,—,"15,955 / 15,955","$1,738,227",2
2011-02-17,Tokyo,Japan,Nippon Budokan,—,"15,955 / 15,955","$1,738,227",2
2011-02-19,Quezon City,Philippines,Smart Araneta Coliseum,Sam Concepcion,"12,667 / 12,667","$859,037",2
2011-02-21,Hong Kong,China,AsiaWorld–Arena,Saito Johnny,"12,573 / 12,573","$1,030,633",2
2011-03-06,Brussels,Belgium,Forest National,Tom Dice,"4,622 / 4,622","$219,212",2
2011-03-07,Rotterdam,Netherlands,Sportpaleis van Ahoy,Tom Dice,"4,799 / 4,799","$248,314",2
2011-03-09,Oslo,Norway,Oslo Spektrum,—,"8,650 / 8,650","$815,246",2
2011-03-12,Oberhausen,Germany,König Pilsener Arena,Martin & James,"6,082 / 6,082","$370,028",2
2011-03-15,Milan,Italy,Mediolanum Forum,Emma Marrone,"3,421 / 5,585","$153,303",2
2011-03-17,Paris,France,Zénith de Paris,—,"3,598 / 8,500","$201,781",2
2011-03-19,Madrid,Spain,Palacio de los Deportes,The Bright,"3,962 / 3,962","$251,864",2
2011-03-22,Birmingham,England,LG Arena,Martin & James,"9,339 / 9,339","$508,854",2
2011-03-25,Belfast,Northern Ireland,Odyssey Arena,Ryan Sheridan,"8,058 / 8,058","$379,001",2
2011-03-27,Dublin,Ireland,The O2,Ryan Sheridan,"8,681 / 8,681","$419,806",2
2011-03-29,Manchester,England,Manchester Evening News Arena,Martin & James,"10,488 / 11,622","$580,558",2
2011-03-30,London,England,The O2 Arena,Martin & James,"15,265 / 15,681","$891,152",2
2011-05-27,Omaha,United States,Qwest Center Omaha,Needtobreathe,"26,992 / 26,992","$1,717,104",2
2011-05-28,Omaha,United States,Qwest Center Omaha,Needtobreathe,"26,992 / 26,992","$1,717,104",2
2011-05-29,Des Moines,United States,Wells Fargo Arena,Needtobreathe,"13,149 / 13,149","$862,771",2
2011-06-02,Sunrise,United States,BankAtlantic Center,Needtobreathe,"24,077 / 24,077","$1,582,951",2
2011-06-03,Sunrise,United States,BankAtlantic Center,Needtobreathe,"24,077 / 24,077","$1,582,951",2
2011-06-04,Orlando,United States,Amway Center,Needtobreathe,"12,262 / 12,262","$791,980",2
2011-06-07,Columbus,United States,Nationwide Arena,Needtobreathe,"14,817 / 14,817","$955,259",2
2011-06-08,Milwaukee,United States,Bradley Center,Needtobreathe,"13,748 / 13,748","$897,042",2
2011-06-11,Detroit,United States,Ford Field,Needtobreathe,"47,992 / 47,992","$3,453,549",2
2011-06-14,Saint Paul,United States,Xcel Energy Center,Needtobreathe,"28,977 / 28,977","$1,913,737",2
2011-06-15,Saint Paul,United States,Xcel Energy Center,Needtobreathe,"28,977 / 28,977","$1,913,737",2
2011-06-18,Pittsburgh,United States,Heinz Field,Needtobreathe,"52,009 / 52,009","$4,009,118",2
2011-06-21,Buffalo,United States,First Niagara Center,Needtobreathe,"14,487 / 14,487","$966,749",2
2011-06-22,Hartford,United States,XL Center,Needtobreathe,"12,436 / 12,436","$810,165",2
2011-06-25,Foxborough,United States,Gillette Stadium,Needtobreathe,"110,800 / 110,800","$8,026,350",2
2011-06-26,Foxborough,United States,Gillette Stadium,Needtobreathe,"110,800 / 110,800","$8,026,350",2
2011-06-30,Greensboro,United States,Greensboro Coliseum,Needtobreathe,"14,789 / 14,789","$990,701",2
2011-07-01,Knoxville,United States,Thompson–Boling Arena,Needtobreathe,"13,754 / 13,754","$903,875",2
2011-07-14,Montreal,Canada,Bell Centre,Needtobreathe,"13,439 / 13,439","$1,254,230",2
2011-07-15,Toronto,Canada,Air Canada Centre,Needtobreathe,"30,144 / 30,144","$3,036,000",2
2011-07-16,Toronto,Canada,Air Canada Centre,Needtobreathe,"30,144 / 30,144","$3,036,000",2
2011-07-19,Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",2
2011-07-20,Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",2
2011-07-23,Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",2
2011-07-24,Newark,United States,Prudential Center,Needtobreathe,"51,487 / 51,487","$3,875,463",2
2011-07-28,Grand Rapids,United States,Van Andel Arena,Needtobreathe,"11,012 / 11,012","$724,854",2
2011-07-29,Indianapolis,United States,Conseco Fieldhouse,Needtobreathe,"13,329 / 13,329","$877,175",2
2011-07-30,Cleveland,United States,Quicken Loans Arena,Needtobreathe,"14,873 / 14,873","$976,954",2
2011-08-02,Washington,United States,Verizon Center,Needtobreathe,"29,303 / 29,303","$2,068,789",2
2011-08-03,Washington,United States,Verizon Center,Needtobreathe,"29,303 / 29,303","$2,068,789",2
2011-08-06,Philadelphia,United States,Lincoln Financial Field,Needtobreathe,"51,395 / 51,395","$4,268,678",2
2011-08-09,Rosemont,United States,Allstate Arena,Needtobreathe,"26,112 / 26,112","$1,909,603",2
2011-08-10,Rosemont,United States,Allstate Arena,Needtobreathe,"26,112 / 26,112","$1,909,603",2
2011-08-13,St. Louis,United States,Scottrade Center,Needtobreathe,"27,965 / 27,965","$1,850,159",2
2011-08-14,St. Louis,United States,Scottrade Center,Needtobreathe,"27,965 / 27,965","$1,850,159",2
2011-08-18,Edmonton,Canada,Rexall Place,Needtobreathe,"25,336 / 25,336","$2,136,270",2
2011-08-19,Edmonton,Canada,Rexall Place,Needtobreathe,"25,336 / 25,336","$2,136,270",2
2011-08-23,Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",2
2011-08-24,Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",2
2011-08-27,Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",2
2011-08-28,Los Angeles,United States,Staples Center,Needtobreathe,"54,900 / 54,900","$3,927,154",2
2011-09-01,San Jose,United States,HP Pavilion,Needtobreathe,"24,827 / 24,827","$1,825,448",2
2011-09-02,San Jose,United States,HP Pavilion,Needtobreathe,"24,827 / 24,827","$1,825,448",2
2011-09-03,Sacramento,United States,Power Balance Pavilion,Needtobreathe,"12,432 / 12,432","$934,326",2
2011-09-06,Portland,United States,Rose Garden Arena,Needtobreathe,"13,610 / 13,610","$903,445",2
2011-09-07,Tacoma,United States,Tacoma Dome,Needtobreathe,"19,904 / 19,904","$1,289,430",2
2011-09-10,Vancouver,Canada,Rogers Arena,Needtobreathe,"26,030 / 26,030","$2,190,680",2
2011-09-11,Vancouver,Canada,Rogers Arena,Needtobreathe,"26,030 / 26,030","$2,190,680",2
2011-09-16,Nashville,United States,Bridgestone Arena,Needtobreathe,"28,178 / 28,178","$1,841,134",2
2011-09-17,Nashville,United States,Bridgestone Arena,Needtobreathe,"28,178 / 28,178","$1,841,134",2
2011-09-20,Bossier City,United States,CenturyLink Center,Needtobreathe,"11,510 / 11,510","$728,546",2
2011-09-21,Tulsa,United States,BOK Center,Needtobreathe,"12,546 / 12,546","$907,573",2
2011-09-24,Kansas City,United States,Arrowhead Stadium,Needtobreathe,"48,562 / 48,562","$3,148,046",2
2011-09-27,Denver,United States,Pepsi Center,Needtobreathe,"12,908 / 12,908","$834,916",2
2011-09-28,Salt Lake City,United States,EnergySolutions Arena,Needtobreathe,"13,720 / 13,720","$896,946",2
2011-10-01,Atlanta,United States,Philips Arena,Needtobreathe,"26,244 / 26,244","$1,726,661",2
2011-10-02,Atlanta,United States,Philips Arena,Needtobreathe,"26,244 / 26,244","$1,726,661",2
2011-10-04,North Little Rock,United States,Verizon Arena,Needtobreathe,"13,566 / 13,566","$856,123",2
2011-10-05,New Orleans,United States,New Orleans Arena,Needtobreathe,"12,943 / 12,943","$830,289",2
2011-10-08,Arlington,United States,Cowboys Stadium,Needtobreathe,"55,451 / 55,451","$4,337,062",2
2011-10-11,Louisville,United States,KFC Yum! Center,Needtobreathe,"14,848 / 14,848","$1,003,828",2
2011-10-14,Lubbock,United States,United Spirit Arena,Needtobreathe,"10,419 / 10,419","$710,426",2
2011-10-15,Oklahoma City,United States,Chesapeake Energy Arena,Needtobreathe,"11,592 / 11,592","$758,364",2
2011-10-20,San Diego,United States,Valley View Casino Center,Needtobreathe,"10,834 / 10,834","$792,634",2
2011-10-21,Glendale,United States,Jobing.com Arena,Needtobreathe,"27,029 / 27,029","$1,826,025",2
2011-10-22,Glendale,United States,Jobing.com Arena,Needtobreathe,"27,029 / 27,029","$1,826,025",2
2011-10-25,San Antonio,United States,AT&T Center,Needtobreathe,"13,851 / 13,851","$901,535",2
2011-10-26,Austin,United States,Frank Erwin Center,Needtobreathe,"11,999 / 11,999","$752,078",2
2011-10-29,Lexington,United States,Rupp Arena,Needtobreathe,"16,237 / 16,237","$1,041,935",2
2011-10-30,Memphis,United States,FedExForum,Needtobreathe,"12,604 / 12,604","$820,036",2
2011-11-05,Houston,United States,Minute Maid Park,Needtobreathe,"42,095 / 42,095","$3,435,756",2
2011-11-11,Jacksonville,United States,Jacksonville Veterans Memorial Arena,Needtobreathe,"11,785 / 11,785","$749,099",2
2011-11-12,Tampa,United States,St. Pete Times Forum,Needtobreathe,"13,695 / 13,695","$914,300",2
2011-11-13,Miami,United States,American Airlines Arena,Needtobreathe,"12,153 / 12,153","$786,904",2
2011-11-16,Charlotte,United States,Time Warner Cable Arena,Needtobreathe,"14,272 / 14,272","$920,903",2
2011-11-17,Raleigh,United States,RBC Center,Needtobreathe,"13,567 / 13,567","$866,056",2
2011-11-18,Columbia,United States,Colonial Life Arena,Needtobreathe,"12,807 / 12,807","$828,231",2
2011-11-21,New York City,United States,Madison Square Garden,Needtobreathe,"26,652 / 26,652","$1,988,411",2
2011-11-22,New York City,United States,Madison Square Garden,Needtobreathe,"26,652 / 26,652","$1,988,411",2
2012-03-02,Perth,Australia,Burswood Dome,Hot Chelle Rae,"15,142 / 15,142","$1,878,530",2
2012-03-04,Adelaide,Australia,Adelaide Entertainment Centre,Hot Chelle Rae,"8,589 / 8,589","$1,075,370",2
2012-03-06,Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,"19,870 / 19,870","$2,416,030",2
2012-03-07,Brisbane,Australia,Brisbane Entertainment Centre,Hot Chelle Rae,"19,870 / 19,870","$2,416,030",2
2012-03-09,Sydney,Australia,Allphones Arena,Hot Chelle Rae,"27,900 / 27,900","$3,420,360",2
2012-03-10,Sydney,Australia,Allphones Arena,Hot Chelle Rae,"27,900 / 27,900","$3,420,360",2
2012-03-12,Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,"33,793 / 33,793","$4,151,650",2
2012-03-13,Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,"33,793 / 33,793","$4,151,650",2
2012-03-14,Melbourne,Australia,Rod Laver Arena,Hot Chelle Rae,"33,793 / 33,793","$4,151,650",2
2012-03-16,Auckland,New Zealand,Vector Arena,Hot Chelle Rae,"32,585 / 32,585","$2,888,560",2
2012-03-17,Auckland,New Zealand,Vector Arena,Hot Chelle Rae,"32,585 / 32,585","$2,888,560",2
2012-03-18,Auckland,New Zealand,Vector Arena,Hot Chelle Rae,"32,585 / 32,585","$2,888,560",2
