Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID,Album_Name,Latitude,Longitude
2009-04-23,Evansville,United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler",7463.0,360617.0,7463.0,1,174,nan,,
2009-04-24,Jonesboro,United States,Convocation Center,"Gloriana
Kellie Pickler",7822.0,340328.0,7822.0,1,59,nan,,
2009-04-25,St. Louis,United States,Scottrade Center,"Gloriana
Kellie Pickler",13764.0,650420.0,13764.0,1,185,nan,,
2009-04-28,Alexandria,United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",,,,1,36,nan,,
2009-04-30,North Charleston,United States,North Charleston Coliseum,"Gloriana
Kellie Pickler",8751.0,398154.0,8751.0,1,145,nan,,
2009-05-01,Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler",11072.0,507012.0,11072.0,1,100,nan,,
2009-05-02,Biloxi,United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler",9436.0,437313.0,9436.0,1,131,nan,,
2009-05-06,London,England,Shepherd'S Bush Empire,—,3395.0,200664.0,3395.0,1,186,nan,,
2009-05-07,London,England,Shepherd'S Bush Empire,—,3394.0,200664.0,3394.0,1,186,nan,,
2009-05-14,Spokane,United States,Spokane Arena,"Gloriana
Kellie Pickler",10798.0,482146.0,10798.0,1,194,nan,,
2009-05-15,Seattle,United States,Keyarena,"Gloriana
Kellie Pickler",12061.0,528637.0,12061.0,1,104,nan,,
2009-05-16,Portland,United States,Rose Garden Arena,"Gloriana
Kellie Pickler",13226.0,613284.0,13226.0,1,179,nan,,
2009-05-17,Nampa,United States,Ford Arena,"Gloriana
Kellie Pickler",8970.0,413622.0,8970.0,1,76,nan,,
2009-05-21,Glendale,United States,Jobing.Com Arena,"Gloriana
Kellie Pickler",13052.0,647923.0,13052.0,1,101,nan,,
2009-05-22,Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",4550.0,240314.0,4550.0,1,0,nan,,
2009-05-23,Paradise,United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler",8311.0,551051.0,8311.0,1,119,nan,,
2009-05-24,San Diego,United States,Valley View Casino Center,"Gloriana
Kellie Pickler",10174.0,502689.0,10174.0,1,220,nan,,
2009-05-26,Salt Lake City,United States,Energysolutions Arena,"Gloriana
Kellie Pickler",13042.0,555207.0,13042.0,1,64,nan,,
2009-06-04,New Brockton,United States,Bamajam Farms,—,,,,1,27,nan,,
2009-06-11,Columbia,United States,Merriweather Post Pavilion,"Gloriana
Kellie Pickler",17619.0,608438.0,17619.0,1,128,nan,,
2009-06-12,Greensboro,United States,Greensboro Coliseum,"Gloriana
Kellie Pickler",14641.0,690959.0,14641.0,1,89,nan,,
2009-06-24,Oshkosh,United States,Ford Festival Park,—,,,,1,78,nan,,
2009-06-25,Cadott,United States,Amphitheatre Concert Grounds,—,,,,1,16,nan,,
2009-07-08,Calgary,Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",,,,1,159,nan,,
2009-07-09,Edmonton,Canada,Rexall Place,—,33910.0,2540906.0,44500.0,1,173,nan,,
2009-07-10,Craven,Canada,Big Valley Park,—,,,,1,35,nan,,
2009-07-11,Winnipeg,Canada,Mts Centre,"Gloriana
Kellie Pickler",11369.0,512487.0,11369.0,1,135,nan,,
2009-07-16,Twin Lakes,United States,Country Thunder Festival,—,,,,1,60,nan,,
2009-07-17,Columbus,United States,Value City Arena,"Gloriana
Kellie Pickler",,,,1,221,nan,,
2009-07-18,Charleston,United States,Charleston Civic Center,"Gloriana
Kellie Pickler",,,,1,53,nan,,
2009-07-23,Cheyenne,United States,Cheyenne Frontier Days Arena,Kellie Pickler,,,,1,55,nan,,
2009-07-24,Rapid City,United States,Barnett Arena,"Gloriana
Kellie Pickler",,,,1,30,nan,,
2009-07-25,Minot,United States,North Dakota State Fair Grandstand,—,,,,1,146,nan,,
2009-08-01,Philadelphia,United States,Wachovia Spectrum,"Gloriana
Kellie Pickler",,,,1,229,nan,,
2009-08-07,Detroit Lakes,United States,Soo Pass Ranch,"Brooks & Dunn
Craig Morgan",,,,1,193,nan,,
2009-08-09,Omaha,United States,Qwest Center Omaha,"Gloriana
Kellie Pickler",,,,1,170,nan,,
2009-08-22,Chelmsford,England,Hylands Park,—,,,,1,95,nan,,
2009-08-23,Weston-Under-Lizard,England,Weston Park,—,,,,1,233,nan,,
2009-08-27,New York City,United States,Madison Square Garden,"Gloriana
Kellie Pickler",13597.0,976062.0,13597.0,1,115,nan,,
2009-08-28,Uncasville,United States,Mohegan Sun Arena,"Gloriana
Kellie Pickler",7507.0,296306.0,7507.0,1,133,nan,,
2009-08-29,University Park,United States,Bryce Jordan Center,"Gloriana
Kellie Pickler",,,,1,42,nan,,
2009-08-30,Louisville,United States,Freedom Hall,"Gloriana
Kellie Pickler",,,,1,83,nan,,
2009-09-03,Duluth,United States,Arena At Gwinnett Center,"Gloriana
Kellie Pickler",,,,1,21,nan,,
2009-09-04,Greenville,United States,Bi-Lo Center,"Gloriana
Kellie Pickler",,,,1,34,nan,,
2009-09-05,Charlotte,United States,Time Warner Cable Arena,"Gloriana
Kellie Pickler",,,,1,212,nan,,
2009-09-09,Lafayette,United States,Cajundome,"Gloriana
Kellie Pickler",,,,1,45,nan,,
2009-09-10,Bossier City,United States,Centurytel Center,"Gloriana
Kellie Pickler",,,,1,52,nan,,
2009-09-11,Birmingham,United States,Bjcc Arena,"Gloriana
Kellie Pickler",,,,1,37,nan,,
2009-09-12,Nashville,United States,Bridgestone Arena,"Gloriana
Kellie Pickler",14269.0,642387.0,14269.0,1,40,nan,,
2009-09-25,Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",6897.0,314031.0,6897.0,1,14,nan,,
2009-09-26,North Little Rock,United States,Verizon Arena,"Gloriana
Kellie Pickler",13978.0,654089.0,13978.0,1,225,nan,,
2009-09-27,Tulsa,United States,Bok Center,"Gloriana
Kellie Pickler",,,,1,38,nan,,
2009-10-01,Pittsburgh,United States,Mellon Arena,"Gloriana
Kellie Pickler",,,,1,124,nan,,
2009-10-02,Grand Rapids,United States,Van Andel Arena,"Gloriana
Kellie Pickler",,,,1,222,nan,,
2009-10-03,Cleveland,United States,Quicken Loans Arena,"Gloriana
Kellie Pickler",15524.0,743492.0,15524.0,1,169,nan,,
2009-10-08,Indianapolis,United States,Conseco Fieldhouse,"Gloriana
Kellie Pickler",13373.0,634876.0,13373.0,1,58,nan,,
2009-10-09,Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",13133.0,575448.0,13133.0,1,12,nan,,
2009-10-10,Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler",13132.0,575448.0,13132.0,1,12,nan,,
2009-10-11,Minneapolis,United States,Target Center,"Gloriana
Kellie Pickler",13563.0,623975.0,13563.0,1,205,nan,,
2009-11-23,London,England,Wembley Arena,Justin Bieber,,,,1,231,nan,,
2009-11-24,Manchester,England,Manchester Evening News Arena,Justin Bieber,,,,1,118,nan,,
2010-02-04,Brisbane,Australia,Brisbane Entertainment Centre,Gloriana,11334.0,956505.0,11334.0,1,41,nan,,
2010-02-06,Sydney,Australia,Acer Arena,Gloriana,13515.0,1015320.0,13515.0,1,4,nan,,
2010-02-07,Sydney,Australia,Acer Arena,Gloriana,13515.0,1015320.0,13515.0,1,4,nan,,
2010-02-08,Newcastle,Australia,Newcastle Entertainment Centre,Gloriana,7180.0,555396.0,7180.0,1,141,nan,,
2010-02-10,Melbourne,Australia,Rod Laver Arena,Gloriana,11747.0,813755.0,11747.0,1,175,nan,,
2010-02-11,Melbourne,Australia,Rod Laver Arena,Gloriana,11746.0,813755.0,11746.0,1,175,nan,,
2010-02-12,Adelaide,Australia,Adelaide Entertainment Centre,Gloriana,9066.0,585352.0,9066.0,1,6,nan,,
2010-02-17,Tokyo,Japan,Zepp Tokyo,—,,,,1,236,nan,,
2010-03-04,Tampa,United States,St. Pete Times Forum,"Gloriana
Kellie Pickler",13861.0,793049.0,13861.0,1,199,nan,,
2010-03-05,Orlando,United States,Amway Arena,"Gloriana
Kellie Pickler",11101.0,598581.0,11101.0,1,17,nan,,
2010-03-07,Sunrise,United States,Bankatlantic Center,"Gloriana
Kellie Pickler",13453.0,777442.0,13453.0,1,28,nan,,
2010-03-10,Austin,United States,Frank Erwin Center,"Gloriana
Kellie Pickler",11928.0,642705.0,11928.0,1,82,nan,,
2010-03-11,Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler",6897.0,314031.0,6897.0,1,14,nan,,
2010-03-12,Corpus Christi,United States,American Bank Center Arena,"Gloriana
Kellie Pickler",8423.0,501169.0,8423.0,1,15,nan,,
2010-03-18,Philadelphia,United States,Wachovia Center,"Gloriana
Kellie Pickler",15180.0,1001161.0,15180.0,1,228,nan,,
2010-03-19,Philadelphia,United States,Wachovia Center,"Gloriana
Kellie Pickler",15180.0,1001160.0,15180.0,1,228,nan,,
2010-03-20,Charlottesville,United States,John Paul Jones Arena,"Gloriana
Kellie Pickler",11858.0,664305.0,11858.0,1,103,nan,,
2010-03-26,Auburn Hills,United States,The Palace Of Auburn Hills,"Gloriana
Kellie Pickler",14563.0,855796.0,14563.0,1,210,nan,,
2010-03-27,Auburn Hills,United States,The Palace Of Auburn Hills,"Gloriana
Kellie Pickler",14562.0,855795.0,14562.0,1,210,nan,,
2010-03-28,Cincinnati,United States,U.S. Bank Arena,"Gloriana
Kellie Pickler",11208.0,645592.0,11208.0,1,216,nan,,
2010-03-31,Oklahoma City,United States,Ford Center,"Gloriana
Kellie Pickler",11795.0,675184.0,11795.0,1,77,nan,,
2010-04-01,Wichita,United States,Intrust Bank Arena,"Gloriana
Kellie Pickler",11208.0,610801.0,11208.0,1,97,nan,,
2010-04-02,Kansas City,United States,Sprint Center,"Gloriana
Kellie Pickler",13781.0,761110.0,13781.0,1,197,nan,,
2010-04-06,Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",12996.0,748568.0,12996.0,1,160,nan,,
2010-04-07,Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler",12995.0,748567.0,12995.0,1,160,nan,,
2010-04-10,Fresno,United States,Save Mart Center,"Gloriana
Kellie Pickler",11706.0,649488.0,11706.0,1,183,nan,,
2010-04-11,San Jose,United States,Hp Pavilion,"Gloriana
Kellie Pickler",12744.0,716726.0,12744.0,1,93,nan,,
2010-04-15,Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",4549.0,240313.0,4549.0,1,0,nan,,
2010-04-16,Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",4549.0,240313.0,4549.0,1,0,nan,,
2010-04-29,Lexington,United States,Rupp Arena,"Gloriana
Kellie Pickler",17966.0,1024223.0,17966.0,1,180,nan,,
2010-04-30,Columbia,United States,Colonial Life Arena,"Gloriana
Kellie Pickler",13429.0,755475.0,13429.0,1,57,nan,,
2010-05-01,Raleigh,United States,Rbc Center,"Gloriana
Kellie Pickler",13895.0,752303.0,13895.0,1,172,nan,,
2010-05-06,Des Moines,United States,Wells Fargo Arena,"Gloriana
Kellie Pickler",13264.0,738280.0,13264.0,1,230,nan,,
2010-05-07,Saint Paul,United States,Xcel Energy Center,"Gloriana
Kellie Pickler",14914.0,846111.0,14914.0,1,234,nan,,
2010-05-08,Moline,United States,Iwireless Center,"Gloriana
Kellie Pickler",10641.0,610668.0,10641.0,1,99,nan,,
2010-05-12,Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",13033.0,871335.0,13033.0,1,167,nan,,
2010-05-13,Newark,United States,Prudential Center,"Gloriana
Kellie Pickler",13032.0,871334.0,13032.0,1,167,nan,,
2010-05-14,Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",12916.0,856765.0,12916.0,1,137,nan,,
2010-05-15,Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler",12915.0,856764.0,12915.0,1,137,nan,,
2010-05-20,Ottawa,Canada,Scotiabank Place,"Gloriana
Kellie Pickler",13376.0,873206.0,13376.0,1,184,nan,,
2010-05-21,Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",15229.0,1248845.0,15229.0,1,7,nan,,
2010-05-22,Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler",15229.0,1248845.0,15229.0,1,7,nan,,
2010-05-25,Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",11747.0,645463.0,11747.0,1,215,nan,,
2010-05-26,Houston,United States,Toyota Center,"Gloriana
Kellie Pickler",11746.0,645463.0,11746.0,1,215,nan,,
2010-05-29,Baton Rouge,United States,Tiger Stadium,—,,,,1,0,nan,,
2010-06-01,"Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler",13645.0,912372.0,13645.0,1,226,nan,,
2010-06-02,"Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler",13645.0,912371.0,13645.0,1,226,nan,,
2010-06-05,Foxborough,United States,Gillette Stadium,"Gloriana
Justin Bieber
Kellie Pickler",56868.0,3726157.0,56868.0,1,88,nan,,
2010-06-19,Nassau,The Bahamas,Imperial Ballroom,"Gloriana
Kellie Pickler",,,,1,96,nan,,
2010-07-10,Cavendish,Canada,Cavendish Beach Festival Grounds,—,35000.0,,35000.0,1,48,nan,,
2011-02-09,Singapore,Singapore,Singapore Indoor Stadium,Sezairi Sezali,8964.0,916850.0,8964.0,2,187,nan,,
2011-02-11,Seoul,South Korea,Olympic Gymnastics Arena,—,4725.0,385374.0,4725.0,2,152,nan,,
2011-02-13,Osaka,Japan,Osaka-Jo Hall,—,6953.0,758113.0,6953.0,2,154,nan,,
2011-02-16,Tokyo,Japan,Nippon Budokan,—,7978.0,869114.0,7978.0,2,143,nan,,
2011-02-17,Tokyo,Japan,Nippon Budokan,—,7977.0,869113.0,7977.0,2,143,nan,,
2011-02-19,Quezon City,Philippines,Smart Araneta Coliseum,Sam Concepcion,12667.0,859037.0,12667.0,2,190,nan,,
2011-02-21,Hong Kong,China,Asiaworld–Arena,Saito Johnny,12573.0,1030633.0,12573.0,2,23,nan,,
2011-03-06,Brussels,Belgium,Forest National,Tom Dice,4622.0,219212.0,4622.0,2,80,nan,,
2011-03-07,Rotterdam,Netherlands,Sportpaleis Van Ahoy,Tom Dice,4799.0,248314.0,4799.0,2,195,nan,,
2011-03-09,Oslo,Norway,Oslo Spektrum,—,8650.0,815246.0,8650.0,2,155,nan,,
2011-03-12,Oberhausen,Germany,König Pilsener Arena,Martin & James,6082.0,370028.0,6082.0,2,106,nan,,
2011-03-15,Milan,Italy,Mediolanum Forum,Emma Marrone,3421.0,153303.0,5585.0,2,121,nan,,
2011-03-17,Paris,France,Zénith De Paris,—,3598.0,201781.0,8500.0,2,238,nan,,
2011-03-19,Madrid,Spain,Palacio De Los Deportes,The Bright,3962.0,251864.0,3962.0,2,156,nan,,
2011-03-22,Birmingham,England,Lg Arena,Martin & James,9339.0,508854.0,9339.0,2,110,nan,,
2011-03-25,Belfast,Northern Ireland,Odyssey Arena,Ryan Sheridan,8058.0,379001.0,8058.0,2,149,nan,,
2011-03-27,Dublin,Ireland,The O2,Ryan Sheridan,8681.0,419806.0,8681.0,2,208,nan,,
2011-03-29,Manchester,England,Manchester Evening News Arena,Martin & James,10488.0,580558.0,11622.0,2,118,nan,,
2011-03-30,London,England,The O2 Arena,Martin & James,15265.0,891152.0,15681.0,2,209,nan,,
2011-05-27,Omaha,United States,Qwest Center Omaha,Needtobreathe,13496.0,858552.0,13496.0,2,170,nan,,
2011-05-28,Omaha,United States,Qwest Center Omaha,Needtobreathe,13496.0,858552.0,13496.0,2,170,nan,,
2011-05-29,Des Moines,United States,Wells Fargo Arena,Needtobreathe,13149.0,862771.0,13149.0,2,230,nan,,
2011-06-02,Sunrise,United States,Bankatlantic Center,Needtobreathe,12039.0,791476.0,12039.0,2,28,nan,,
2011-06-03,Sunrise,United States,Bankatlantic Center,Needtobreathe,12038.0,791475.0,12038.0,2,28,nan,,
2011-06-04,Orlando,United States,Amway Center,Needtobreathe,12262.0,791980.0,12262.0,2,18,nan,,
2011-06-07,Columbus,United States,Nationwide Arena,Needtobreathe,14817.0,955259.0,14817.0,2,139,nan,,
2011-06-08,Milwaukee,United States,Bradley Center,Needtobreathe,13748.0,897042.0,13748.0,2,39,nan,,
2011-06-11,Detroit,United States,Ford Field,Needtobreathe,47992.0,3453549.0,47992.0,2,79,nan,,
2011-06-14,Saint Paul,United States,Xcel Energy Center,Needtobreathe,14489.0,956869.0,14489.0,2,234,nan,,
2011-06-15,Saint Paul,United States,Xcel Energy Center,Needtobreathe,14488.0,956868.0,14488.0,2,234,nan,,
2011-06-18,Pittsburgh,United States,Heinz Field,Needtobreathe,52009.0,4009118.0,52009.0,2,92,nan,,
2011-06-21,Buffalo,United States,First Niagara Center,Needtobreathe,14487.0,966749.0,14487.0,2,74,nan,,
2011-06-22,Hartford,United States,Xl Center,Needtobreathe,12436.0,810165.0,12436.0,2,235,nan,,
2011-06-25,Foxborough,United States,Gillette Stadium,Needtobreathe,55400.0,4013175.0,55400.0,2,88,nan,,
2011-06-26,Foxborough,United States,Gillette Stadium,Needtobreathe,55400.0,4013175.0,55400.0,2,88,nan,,
2011-06-30,Greensboro,United States,Greensboro Coliseum,Needtobreathe,14789.0,990701.0,14789.0,2,89,nan,,
2011-07-01,Knoxville,United States,Thompson–Boling Arena,Needtobreathe,13754.0,903875.0,13754.0,2,211,nan,,
2011-07-14,Montreal,Canada,Bell Centre,Needtobreathe,13439.0,1254230.0,13439.0,2,33,nan,,
2011-07-15,Toronto,Canada,Air Canada Centre,Needtobreathe,15072.0,1518000.0,15072.0,2,7,nan,,
2011-07-16,Toronto,Canada,Air Canada Centre,Needtobreathe,15072.0,1518000.0,15072.0,2,7,nan,,
2011-07-19,Newark,United States,Prudential Center,Needtobreathe,12872.0,968866.0,12872.0,2,167,nan,,
2011-07-20,Newark,United States,Prudential Center,Needtobreathe,12872.0,968866.0,12872.0,2,167,nan,,
2011-07-23,Newark,United States,Prudential Center,Needtobreathe,12872.0,968866.0,12872.0,2,167,nan,,
2011-07-24,Newark,United States,Prudential Center,Needtobreathe,12871.0,968865.0,12871.0,2,167,nan,,
2011-07-28,Grand Rapids,United States,Van Andel Arena,Needtobreathe,11012.0,724854.0,11012.0,2,222,nan,,
2011-07-29,Indianapolis,United States,Conseco Fieldhouse,Needtobreathe,13329.0,877175.0,13329.0,2,58,nan,,
2011-07-30,Cleveland,United States,Quicken Loans Arena,Needtobreathe,14873.0,976954.0,14873.0,2,169,nan,,
2011-08-02,Washington,United States,Verizon Center,Needtobreathe,14652.0,1034395.0,14652.0,2,0,nan,,
2011-08-03,Washington,United States,Verizon Center,Needtobreathe,14651.0,1034394.0,14651.0,2,0,nan,,
2011-08-06,Philadelphia,United States,Lincoln Financial Field,Needtobreathe,51395.0,4268678.0,51395.0,2,111,nan,,
2011-08-09,Rosemont,United States,Allstate Arena,Needtobreathe,13056.0,954802.0,13056.0,2,12,nan,,
2011-08-10,Rosemont,United States,Allstate Arena,Needtobreathe,13056.0,954801.0,13056.0,2,12,nan,,
2011-08-13,St. Louis,United States,Scottrade Center,Needtobreathe,13983.0,925080.0,13983.0,2,185,nan,,
2011-08-14,St. Louis,United States,Scottrade Center,Needtobreathe,13982.0,925079.0,13982.0,2,185,nan,,
2011-08-18,Edmonton,Canada,Rexall Place,Needtobreathe,12668.0,1068135.0,12668.0,2,173,nan,,
2011-08-19,Edmonton,Canada,Rexall Place,Needtobreathe,12668.0,1068135.0,12668.0,2,173,nan,,
2011-08-23,Los Angeles,United States,Staples Center,Needtobreathe,13725.0,981789.0,13725.0,2,0,nan,,
2011-08-24,Los Angeles,United States,Staples Center,Needtobreathe,13725.0,981789.0,13725.0,2,0,nan,,
2011-08-27,Los Angeles,United States,Staples Center,Needtobreathe,13725.0,981788.0,13725.0,2,0,nan,,
2011-08-28,Los Angeles,United States,Staples Center,Needtobreathe,13725.0,981788.0,13725.0,2,0,nan,,
2011-09-01,San Jose,United States,Hp Pavilion,Needtobreathe,12414.0,912724.0,12414.0,2,93,nan,,
2011-09-02,San Jose,United States,Hp Pavilion,Needtobreathe,12413.0,912724.0,12413.0,2,93,nan,,
2011-09-03,Sacramento,United States,Power Balance Pavilion,Needtobreathe,12432.0,934326.0,12432.0,2,165,nan,,
2011-09-06,Portland,United States,Rose Garden Arena,Needtobreathe,13610.0,903445.0,13610.0,2,179,nan,,
2011-09-07,Tacoma,United States,Tacoma Dome,Needtobreathe,19904.0,1289430.0,19904.0,2,203,nan,,
2011-09-10,Vancouver,Canada,Rogers Arena,Needtobreathe,13015.0,1095340.0,13015.0,2,176,nan,,
2011-09-11,Vancouver,Canada,Rogers Arena,Needtobreathe,13015.0,1095340.0,13015.0,2,176,nan,,
2011-09-16,Nashville,United States,Bridgestone Arena,Needtobreathe,14089.0,920567.0,14089.0,2,40,nan,,
2011-09-17,Nashville,United States,Bridgestone Arena,Needtobreathe,14089.0,920567.0,14089.0,2,40,nan,,
2011-09-20,Bossier City,United States,Centurylink Center,Needtobreathe,11510.0,728546.0,11510.0,2,49,nan,,
2011-09-21,Tulsa,United States,Bok Center,Needtobreathe,12546.0,907573.0,12546.0,2,38,nan,,
2011-09-24,Kansas City,United States,Arrowhead Stadium,Needtobreathe,48562.0,3148046.0,48562.0,2,22,nan,,
2011-09-27,Denver,United States,Pepsi Center,Needtobreathe,12908.0,834916.0,12908.0,2,160,nan,,
2011-09-28,Salt Lake City,United States,Energysolutions Arena,Needtobreathe,13720.0,896946.0,13720.0,2,64,nan,,
2011-10-01,Atlanta,United States,Philips Arena,Needtobreathe,13122.0,863331.0,13122.0,2,163,nan,,
2011-10-02,Atlanta,United States,Philips Arena,Needtobreathe,13122.0,863330.0,13122.0,2,163,nan,,
2011-10-04,North Little Rock,United States,Verizon Arena,Needtobreathe,13566.0,856123.0,13566.0,2,225,nan,,
2011-10-05,New Orleans,United States,New Orleans Arena,Needtobreathe,12943.0,830289.0,12943.0,2,140,nan,,
2011-10-08,Arlington,United States,Cowboys Stadium,Needtobreathe,55451.0,4337062.0,55451.0,2,61,nan,,
2011-10-11,Louisville,United States,Kfc Yum! Center,Needtobreathe,14848.0,1003828.0,14848.0,2,105,nan,,
2011-10-14,Lubbock,United States,United Spirit Arena,Needtobreathe,10419.0,710426.0,10419.0,2,218,nan,,
2011-10-15,Oklahoma City,United States,Chesapeake Energy Arena,Needtobreathe,11592.0,758364.0,11592.0,2,54,nan,,
2011-10-20,San Diego,United States,Valley View Casino Center,Needtobreathe,10834.0,792634.0,10834.0,2,220,nan,,
2011-10-21,Glendale,United States,Jobing.Com Arena,Needtobreathe,13515.0,913013.0,13515.0,2,101,nan,,
2011-10-22,Glendale,United States,Jobing.Com Arena,Needtobreathe,13514.0,913012.0,13514.0,2,101,nan,,
2011-10-25,San Antonio,United States,At&T Center,Needtobreathe,13851.0,901535.0,13851.0,2,24,nan,,
2011-10-26,Austin,United States,Frank Erwin Center,Needtobreathe,11999.0,752078.0,11999.0,2,82,nan,,
2011-10-29,Lexington,United States,Rupp Arena,Needtobreathe,16237.0,1041935.0,16237.0,2,180,nan,,
2011-10-30,Memphis,United States,Fedexforum,Needtobreathe,12604.0,820036.0,12604.0,2,73,nan,,
2011-11-05,Houston,United States,Minute Maid Park,Needtobreathe,42095.0,3435756.0,42095.0,2,130,nan,,
